Time,Amount,Note
"2/20/17, 9:23 AM",60 ml,15min
"2/20/17, 1:21 PM",50 ml
"2/20/17, 5:13 PM",50 ml
"2/20/17, 8:13 PM",60 ml
"2/20/17, 10:50 PM",20 ml
"2/21/17, 3:30 AM",60 ml
"2/21/17, 7:55 AM",100 ml
"2/21/17, 10:58 AM",80 ml
"2/21/17, 12:45 PM",45 ml
"2/21/17, 4:05 PM",55 ml
"2/21/17, 6:37 PM",60 ml
"2/21/17, 9:10 PM",55 ml
"2/21/17, 11:20 PM",50 ml
"2/22/17, 7:43 AM",120 ml
"2/22/17, 10:40 AM",80 ml
"2/22/17, 1:13 PM",70 ml
"2/22/17, 4:10 PM",60 ml
"2/22/17, 7:20 PM",70 ml
"2/23/17, 12:00 AM",120 ml
"2/23/17, 3:00 AM",85 ml
"2/23/17, 9:30 AM",130 ml
"2/23/17, 11:45 AM",90 ml
"2/23/17, 1:55 PM",60 ml
"2/23/17, 4:25 PM",80 ml
"2/23/17, 7:30 PM",75 ml
"2/23/17, 9:22 PM",60 ml
"2/24/17, 2:22 AM",130 ml
"2/24/17, 6:50 AM",110 ml
"2/24/17, 9:50 AM",100 ml
"2/24/17, 12:10 PM",80 ml
"2/24/17, 2:25 PM",80 ml
"2/24/17, 4:30 PM",70 ml
"2/24/17, 9:15 PM",130 ml
"2/25/17, 1:45 AM",110 ml
"2/25/17, 6:40 AM",120 ml
"2/25/17, 10:30 AM",130 ml
"2/25/17, 2:00 PM",120 ml
"2/25/17, 5:20 PM",120 ml
"2/25/17, 8:20 PM",110 ml
"2/25/17, 10:40 PM",70 ml
"2/26/17, 2:05 AM",110 ml
"2/26/17, 5:35 AM",100 ml
"2/26/17, 8:35 AM",100 ml
"2/26/17, 10:45 AM",80 ml
"2/26/17, 1:30 PM",90 ml
"2/26/17, 4:25 PM",110 ml
"2/26/17, 8:20 PM",120 ml
"2/26/17, 10:55 PM",110 ml
"2/27/17, 1:35 AM",85 ml
"2/27/17, 5:15 AM",120 ml
"2/27/17, 8:15 AM",100 ml
"2/27/17, 10:40 AM",90 ml
"2/27/17, 1:20 PM",90 ml
"2/27/17, 3:35 PM",90 ml
"2/27/17, 5:45 PM",90 ml
"2/27/17, 9:55 PM",150 ml
"2/28/17, 12:25 AM",80 ml
"2/28/17, 3:00 AM",90 ml
"2/28/17, 5:35 AM",105 ml
"2/28/17, 8:05 AM",90 ml
"2/28/17, 11:15 AM",105 ml
"2/28/17, 1:55 PM",105 ml
"2/28/17, 4:10 PM",80 ml
"2/28/17, 8:00 PM",130 ml
"2/28/17, 11:05 PM",130 ml
"3/1/17, 2:15 AM",120 ml
"3/1/17, 4:40 AM",100 ml
"3/1/17, 8:20 AM",120 ml,10min
"3/1/17, 11:40 AM",150 ml
"3/1/17, 2:05 PM",110 ml
"3/1/17, 4:30 PM",90 ml
"3/1/17, 7:25 PM",120 ml
"3/1/17, 9:30 PM",85 ml
"3/1/17, 11:40 PM",75 ml,10min
"3/2/17, 2:20 AM",110 ml
"3/2/17, 4:35 AM",80 ml
"3/2/17, 7:25 AM",75 ml
"3/2/17, 10:35 AM",135 ml
"3/2/17, 12:35 PM",90 ml
"3/2/17, 3:50 PM",130 ml
"3/2/17, 7:20 PM",160 ml
"3/2/17, 10:50 PM",135 ml
"3/3/17, 1:40 AM",110 ml
"3/3/17, 4:10 AM",100 ml
"3/3/17, 7:40 AM",130 ml
"3/3/17, 10:17 AM",105 ml
"3/3/17, 12:45 PM",120 ml
"3/3/17, 4:05 PM",135 ml
"3/3/17, 7:35 PM",145 ml
"3/3/17, 10:00 PM",115 ml
"3/4/17, 12:55 AM",100 ml
"3/4/17, 4:00 AM",120 ml
"3/4/17, 7:20 AM",150 ml
"3/4/17, 10:25 AM",110 ml
"3/4/17, 1:20 PM",130 ml
"3/4/17, 4:05 PM",120 ml
"3/4/17, 6:45 PM",120 ml
"3/4/17, 9:00 PM",110 ml
"3/4/17, 11:10 PM",90 ml
"3/5/17, 1:25 AM",105 ml
"3/5/17, 5:40 AM",150 ml
"3/5/17, 9:40 AM",150 ml
"3/5/17, 1:25 PM",180 ml
"3/5/17, 4:45 PM",140 ml
"3/5/17, 8:00 PM",170 ml
"3/5/17, 11:05 PM",130 ml
"3/6/17, 2:55 AM",135 ml
"3/6/17, 6:40 AM",180 ml
"3/6/17, 10:15 AM",150 ml
"3/6/17, 1:05 PM",135 ml
"3/6/17, 3:30 PM",135 ml
"3/6/17, 5:45 PM",105 ml
"3/6/17, 8:25 PM",120 ml
"3/6/17, 10:55 PM",105 ml
"3/7/17, 1:25 AM",120 ml
"3/7/17, 4:00 AM",105 ml
"3/7/17, 8:00 AM",150 ml
"3/7/17, 10:50 AM",165 ml
"3/7/17, 1:40 PM",135 ml
"3/7/17, 4:30 PM",120 ml
"3/7/17, 6:55 PM",90 ml
"3/7/17, 9:25 PM",135 ml
"3/8/17, 1:20 AM",135 ml
"3/8/17, 4:55 AM",135 ml
"3/8/17, 7:05 AM",120 ml
"3/8/17, 10:15 AM",150 ml
"3/8/17, 3:00 PM",90 ml
"3/8/17, 5:30 PM",150 ml
"3/8/17, 8:45 PM",150 ml
"3/8/17, 11:55 PM",135 ml
"3/9/17, 2:10 AM",150 ml
"3/9/17, 7:05 AM",195 ml
"3/9/17, 10:25 AM",180 ml
"3/9/17, 1:25 PM",120 ml
"3/9/17, 5:30 PM",180 ml
"3/9/17, 9:00 PM",135 ml
"3/9/17, 11:30 PM",135 ml
"3/10/17, 2:45 AM",135 ml
"3/10/17, 6:45 AM",150 ml
"3/10/17, 10:25 AM",135 ml
"3/10/17, 1:35 PM",120 ml
"3/10/17, 4:40 PM",165 ml
"3/10/17, 8:00 PM",150 ml
"3/10/17, 11:30 PM",135 ml
"3/11/17, 2:00 AM",120 ml
"3/11/17, 5:35 AM",135 ml
"3/11/17, 8:45 AM",135 ml
"3/11/17, 12:30 PM",135 ml
"3/11/17, 3:30 PM",120 ml
"3/11/17, 7:40 PM",165 ml
"3/11/17, 11:15 PM",150 ml
"3/12/17, 3:30 AM",135 ml
"3/12/17, 6:50 AM",120 ml
"3/12/17, 10:45 AM",165 ml
"3/12/17, 3:20 PM",210 ml
"3/12/17, 7:15 PM",180 ml
"3/12/17, 10:35 PM",135 ml
"3/13/17, 1:15 AM",135 ml
"3/13/17, 6:00 AM",195 ml
"3/13/17, 10:05 AM",195 ml
"3/13/17, 1:15 PM",150 ml
"3/13/17, 5:05 PM",150 ml
"3/13/17, 8:00 PM",135 ml
"3/13/17, 11:00 PM",135 ml
"3/14/17, 1:15 AM",90 ml
"3/14/17, 4:15 AM",120 ml
"3/14/17, 7:55 AM",150 ml
"3/14/17, 11:25 AM",150 ml
"3/14/17, 2:10 PM",135 ml
"3/14/17, 4:55 PM",105 ml
"3/14/17, 8:10 PM",135 ml
"3/14/17, 10:45 PM",105 ml
"3/15/17, 1:40 AM",120 ml
"3/15/17, 4:35 AM",135 ml
"3/15/17, 7:35 AM",150 ml
"3/15/17, 11:25 AM",180 ml
"3/15/17, 3:30 PM",180 ml
"3/15/17, 6:50 PM",150 ml
"3/15/17, 10:20 PM",150 ml
"3/16/17, 1:55 AM",150 ml
"3/16/17, 6:25 AM",195 ml
"3/16/17, 10:20 AM",195 ml
"3/16/17, 2:05 PM",165 ml
"3/16/17, 5:10 PM",135 ml
"3/16/17, 8:00 PM",135 ml
"3/16/17, 10:40 PM",135 ml
"3/17/17, 1:50 AM",135 ml
"3/17/17, 6:40 AM",180 ml
"3/17/17, 10:25 AM",180 ml
"3/17/17, 1:45 PM",150 ml
"3/17/17, 4:45 PM",135 ml
"3/17/17, 7:50 PM",135 ml
"3/17/17, 10:55 PM",135 ml
"3/18/17, 2:05 AM",135 ml
"3/18/17, 5:35 AM",135 ml
"3/18/17, 8:30 AM",135 ml
"3/18/17, 11:30 AM",135 ml
"3/18/17, 3:00 PM",165 ml
"3/18/17, 5:45 PM",135 ml
"3/18/17, 8:45 PM",150 ml
"3/19/17, 1:35 AM",135 ml
"3/19/17, 4:35 AM",135 ml
"3/19/17, 7:40 AM",135 ml
"3/19/17, 11:00 AM",135 ml
"3/19/17, 2:30 PM",180 ml
"3/19/17, 5:50 PM",150 ml
"3/19/17, 9:05 PM",135 ml
"3/20/17, 12:00 AM",90 ml
"3/20/17, 4:50 AM",135 ml
"3/20/17, 9:15 AM",195 ml
"3/20/17, 1:00 PM",135 ml
"3/20/17, 3:45 PM",90 ml
"3/20/17, 6:45 PM",135 ml
"3/20/17, 9:30 PM",120 ml
"3/21/17, 12:45 AM",135 ml
"3/21/17, 3:55 AM",135 ml
"3/21/17, 7:00 AM",150 ml
"3/21/17, 10:30 AM",105 ml
"3/21/17, 1:00 PM",135 ml
"3/21/17, 4:00 PM",120 ml
"3/21/17, 7:05 PM",105 ml
"3/21/17, 10:25 PM",120 ml
"3/22/17, 1:15 AM",120 ml
"3/22/17, 4:25 AM",135 ml
"3/22/17, 7:25 AM",135 ml
"3/22/17, 10:35 AM",120 ml
"3/22/17, 1:25 PM",105 ml
"3/22/17, 4:25 PM",120 ml
"3/22/17, 7:35 PM",135 ml
"3/22/17, 10:35 PM",150 ml
"3/23/17, 1:20 AM",105 ml
"3/23/17, 4:35 AM",120 ml
"3/23/17, 7:25 AM",120 ml
"3/23/17, 10:25 AM",120 ml
"3/23/17, 1:39 PM",120 ml
"3/23/17, 4:40 PM",105 ml
"3/23/17, 7:50 PM",165 ml
"3/23/17, 10:40 PM",105 ml
"3/24/17, 1:45 AM",135 ml
"3/24/17, 5:05 AM",135 ml
"3/24/17, 8:05 AM",120 ml
"3/24/17, 11:15 AM",150 ml
"3/24/17, 2:00 PM",135 ml
"3/24/17, 5:20 PM",135 ml
"3/24/17, 8:35 PM",135 ml
"3/25/17, 12:00 AM",180 ml
"3/25/17, 3:05 AM",120 ml
"3/25/17, 6:05 AM",135 ml
"3/25/17, 9:05 AM",120 ml
"3/25/17, 12:30 PM",135 ml
"3/25/17, 4:00 PM",150 ml
"3/25/17, 7:15 PM",135 ml
"3/25/17, 10:10 PM",150 ml
"3/26/17, 1:00 AM",120 ml
"3/26/17, 4:15 AM",165 ml
"3/26/17, 7:15 AM",120 ml
"3/26/17, 11:00 AM",150 ml
"3/26/17, 2:00 PM",135 ml
"3/26/17, 5:46 PM",150 ml
"3/26/17, 9:15 PM",150 ml
"3/27/17, 12:20 AM",135 ml
"3/27/17, 4:05 AM",165 ml
"3/27/17, 7:45 AM",165 ml
"3/27/17, 11:35 AM",165 ml
"3/27/17, 3:00 PM",165 ml
"3/27/17, 7:20 PM",165 ml
"3/27/17, 10:55 PM",165 ml
"3/28/17, 2:30 AM",165 ml
"3/28/17, 6:00 AM",150 ml
"3/28/17, 9:35 AM",165 ml
"3/28/17, 1:15 PM",150 ml
"3/28/17, 4:45 PM",150 ml
"3/28/17, 8:15 PM",150 ml
"3/28/17, 11:30 PM",180 ml
"3/29/17, 3:05 AM",135 ml
"3/29/17, 6:35 AM",135 ml
"3/29/17, 10:00 AM",150 ml
"3/29/17, 1:35 PM",150 ml
"3/29/17, 5:00 PM",135 ml
"3/29/17, 8:35 PM",165 ml
"3/29/17, 11:55 PM",150 ml
"3/30/17, 3:35 AM",150 ml
"3/30/17, 7:05 AM",150 ml
"3/30/17, 10:05 AM",150 ml
"3/30/17, 1:10 PM",120 ml
"3/30/17, 4:15 PM",135 ml
"3/30/17, 7:35 PM",150 ml
"3/30/17, 10:50 PM",165 ml
"3/31/17, 2:05 AM",135 ml
"3/31/17, 5:05 AM",135 ml
"3/31/17, 8:05 AM",120 ml
"3/31/17, 11:05 AM",120 ml
"3/31/17, 2:25 PM",120 ml
"3/31/17, 6:00 PM",120 ml
"3/31/17, 9:30 PM",150 ml
"4/1/17, 1:00 AM",150 ml
"4/1/17, 4:50 AM",105 ml
"4/1/17, 8:35 AM",150 ml
"4/1/17, 12:25 PM",150 ml
"4/1/17, 3:55 PM",120 ml
"4/1/17, 7:15 PM",120 ml
"4/1/17, 10:00 PM",105 ml
"4/2/17, 1:00 AM",120 ml
"4/2/17, 4:05 AM",120 ml
"4/2/17, 7:05 AM",120 ml
"4/2/17, 11:00 AM",120 ml
"4/2/17, 1:55 PM",120 ml
"4/2/17, 5:15 PM",165 ml
"4/2/17, 8:15 PM",135 ml
"4/2/17, 11:40 PM",135 ml
"4/3/17, 2:45 AM",105 ml
"4/3/17, 5:50 AM",105 ml
"4/3/17, 9:05 AM",135 ml
"4/3/17, 12:00 PM",135 ml
"4/3/17, 3:15 PM",135 ml
"4/3/17, 6:00 PM",120 ml
"4/3/17, 9:15 PM",135 ml
"4/4/17, 12:38 AM",105 ml
"4/4/17, 3:20 AM",105 ml
"4/4/17, 6:30 AM",105 ml
"4/4/17, 9:35 AM",135 ml
"4/4/17, 1:00 PM",135 ml
"4/4/17, 4:00 PM",180 ml
"4/4/17, 7:15 PM",120 ml
"4/4/17, 10:20 PM",120 ml
"4/5/17, 1:35 AM",120 ml
"4/5/17, 5:00 AM",150 ml
"4/5/17, 8:35 AM",150 ml
"4/5/17, 11:45 AM",150 ml
"4/5/17, 3:15 PM",135 ml
"4/5/17, 6:45 PM",165 ml
"4/5/17, 10:25 PM",150 ml
"4/6/17, 1:55 AM",120 ml
"4/6/17, 5:30 AM",150 ml
"4/6/17, 9:10 AM",150 ml
"4/6/17, 12:45 PM",165 ml
"4/6/17, 4:15 PM",150 ml
"4/6/17, 7:55 PM",150 ml
"4/6/17, 11:30 PM",180 ml
"4/7/17, 3:00 AM",105 ml
"4/7/17, 6:30 AM",135 ml
"4/7/17, 9:30 AM",165 ml
"4/7/17, 12:45 PM",135 ml
"4/7/17, 4:00 PM",135 ml
"4/7/17, 7:20 PM",165 ml
"4/7/17, 10:35 PM",150 ml
"4/8/17, 2:00 AM",135 ml
"4/8/17, 5:30 AM",120 ml
"4/8/17, 9:00 AM",150 ml
"4/8/17, 12:10 PM",150 ml
"4/8/17, 3:20 PM",150 ml
"4/8/17, 6:30 PM",165 ml
"4/8/17, 10:00 PM",135 ml
"4/9/17, 1:30 AM",150 ml
"4/9/17, 5:05 AM",150 ml
"4/9/17, 8:30 AM",150 ml
"4/9/17, 11:45 AM",135 ml
"4/9/17, 3:10 PM",150 ml
"4/9/17, 6:20 PM",165 ml
"4/9/17, 10:00 PM",165 ml
"4/10/17, 1:30 AM",120 ml
"4/10/17, 5:00 AM",150 ml
"4/10/17, 8:35 AM",150 ml
"4/10/17, 12:00 PM",150 ml
"4/10/17, 3:20 PM",150 ml
"4/10/17, 6:40 PM",165 ml
"4/10/17, 10:05 PM",240 ml
"4/11/17, 1:30 AM",120 ml
"4/11/17, 5:00 AM",150 ml
"4/11/17, 8:40 AM",165 ml
"4/11/17, 11:45 AM",165 ml
"4/11/17, 3:15 PM",150 ml
"4/11/17, 6:50 PM",165 ml
"4/11/17, 10:10 PM",165 ml
"4/12/17, 1:45 AM",165 ml
"4/12/17, 5:20 AM",150 ml
"4/12/17, 9:05 AM",165 ml
"4/12/17, 12:50 PM",165 ml
"4/12/17, 4:10 PM",165 ml
"4/12/17, 7:35 PM",135 ml
"4/12/17, 10:55 PM",150 ml
"4/13/17, 2:35 AM",150 ml
"4/13/17, 6:00 AM",120 ml
"4/13/17, 9:30 AM",165 ml
"4/13/17, 12:40 PM",150 ml
"4/13/17, 3:45 PM",135 ml
"4/13/17, 6:45 PM",150 ml
"4/13/17, 10:15 PM",210 ml
"4/14/17, 1:45 AM",105 ml
"4/14/17, 5:15 AM",135 ml
"4/14/17, 8:45 AM",165 ml
"4/14/17, 11:45 AM",165 ml
"4/14/17, 3:25 PM",165 ml
"4/14/17, 6:45 PM",150 ml
"4/14/17, 9:40 PM",150 ml
"4/15/17, 12:45 AM",150 ml
"4/15/17, 3:45 AM",135 ml
"4/15/17, 6:45 AM",150 ml
"4/15/17, 9:35 AM",150 ml
"4/15/17, 1:55 PM",180 ml
"4/15/17, 5:00 PM",165 ml
"4/15/17, 8:30 PM",180 ml
"4/15/17, 11:35 PM",165 ml
"4/16/17, 2:35 AM",150 ml
"4/16/17, 5:35 AM",150 ml
"4/16/17, 8:30 AM",150 ml
"4/16/17, 12:30 PM",165 ml
"4/16/17, 4:30 PM",195 ml
"4/16/17, 8:10 PM",180 ml
"4/16/17, 11:30 PM",180 ml
"4/17/17, 3:30 AM",180 ml
"4/17/17, 7:35 AM",195 ml
"4/17/17, 11:30 AM",180 ml
"4/17/17, 3:10 PM",180 ml
"4/17/17, 6:30 PM",165 ml
"4/17/17, 10:30 PM",210 ml
"4/18/17, 2:30 AM",165 ml
"4/18/17, 6:30 AM",165 ml
"4/18/17, 10:00 AM",150 ml
"4/18/17, 1:30 PM",180 ml
"4/18/17, 5:00 PM",150 ml
"4/18/17, 8:35 PM",180 ml
"4/19/17, 12:05 AM",165 ml
"4/19/17, 3:30 AM",180 ml
"4/19/17, 7:05 AM",180 ml
"4/19/17, 10:30 AM",150 ml
"4/19/17, 2:00 PM",180 ml
"4/19/17, 5:30 PM",180 ml
"4/19/17, 9:00 PM",165 ml
"4/20/17, 12:30 AM",165 ml
"4/20/17, 4:05 AM",150 ml
"4/20/17, 7:30 AM",180 ml
"4/20/17, 11:00 AM",165 ml
"4/20/17, 3:00 PM",195 ml
"4/20/17, 7:00 PM",165 ml
"4/20/17, 10:45 PM",210 ml
"4/21/17, 2:20 AM",165 ml
"4/21/17, 6:00 AM",165 ml
"4/21/17, 9:35 AM",165 ml
"4/21/17, 1:00 PM",165 ml
"4/21/17, 4:30 PM",180 ml
"4/21/17, 8:30 PM",195 ml
"4/22/17, 12:05 AM",165 ml
"4/22/17, 3:35 AM",165 ml
"4/22/17, 7:00 AM",165 ml
"4/22/17, 10:35 AM",180 ml
"4/22/17, 2:00 PM",180 ml
"4/22/17, 5:30 PM",180 ml
"4/22/17, 9:00 PM",165 ml
"4/23/17, 12:30 AM",195 ml
"4/23/17, 4:30 AM",165 ml
"4/23/17, 8:05 AM",180 ml
"4/23/17, 11:40 AM",165 ml
"4/23/17, 3:00 PM",165 ml
"4/23/17, 6:30 PM",180 ml
"4/23/17, 10:00 PM",165 ml
"4/24/17, 2:00 AM",180 ml
"4/24/17, 5:30 AM",165 ml
"4/24/17, 9:15 AM",165 ml
"4/24/17, 12:55 PM",165 ml
"4/24/17, 5:00 PM",195 ml
"4/24/17, 9:00 PM",210 ml
"4/25/17, 12:30 AM",165 ml
"4/25/17, 4:15 AM",165 ml
"4/25/17, 7:50 AM",180 ml
"4/25/17, 11:30 AM",195 ml
"4/25/17, 3:10 PM",180 ml
"4/25/17, 7:10 PM",180 ml
"4/25/17, 10:30 PM",195 ml
"4/26/17, 3:00 AM",180 ml
"4/26/17, 7:00 AM",180 ml
"4/26/17, 10:30 AM",180 ml
"4/26/17, 2:20 PM",180 ml
"4/26/17, 5:55 PM",195 ml
"4/26/17, 9:55 PM",195 ml
"4/27/17, 2:00 AM",195 ml
"4/27/17, 6:00 AM",195 ml
"4/27/17, 9:45 AM",180 ml
"4/27/17, 1:30 PM",165 ml
"4/27/17, 5:20 PM",195 ml
"4/27/17, 9:00 PM",180 ml
"4/28/17, 1:00 AM",165 ml
"4/28/17, 5:00 AM",180 ml
"4/28/17, 8:30 AM",180 ml
"4/28/17, 12:30 PM",180 ml
"4/28/17, 4:00 PM",180 ml
"4/28/17, 7:30 PM",150 ml
"4/28/17, 11:00 PM",180 ml
"4/29/17, 3:00 AM",150 ml
"4/29/17, 7:30 AM",210 ml
"4/29/17, 11:00 AM",195 ml
"4/29/17, 2:30 PM",180 ml
"4/29/17, 6:00 PM",180 ml
"4/29/17, 10:00 PM",210 ml
"4/30/17, 2:00 AM",195 ml
"4/30/17, 6:00 AM",180 ml
"4/30/17, 10:00 AM",180 ml
"4/30/17, 1:40 PM",180 ml
"4/30/17, 5:30 PM",195 ml
"4/30/17, 9:30 PM",180 ml
"5/1/17, 1:00 AM",195 ml
"5/1/17, 5:00 AM",180 ml
"5/1/17, 9:00 AM",195 ml
"5/1/17, 1:00 PM",180 ml
"5/1/17, 5:00 PM",180 ml
"5/1/17, 9:00 PM",210 ml
"5/2/17, 1:00 AM",180 ml
"5/2/17, 5:00 AM",195 ml
"5/2/17, 9:00 AM",180 ml
"5/2/17, 1:00 PM",195 ml
"5/2/17, 5:00 PM",195 ml
"5/2/17, 9:00 PM",195 ml
"5/3/17, 1:00 AM",210 ml
"5/3/17, 5:00 AM",210 ml
"5/3/17, 9:00 AM",195 ml
"5/3/17, 1:00 PM",195 ml
