Time,Amount,Note
"5/3/17, 5:00 PM",195 ml
"5/3/17, 9:00 PM",195 ml
"5/4/17, 1:00 AM",195 ml
"5/4/17, 5:00 AM",195 ml
"5/4/17, 9:00 AM",180 ml
"5/4/17, 1:00 PM",195 ml
"5/4/17, 5:00 PM",210 ml
"5/4/17, 9:00 PM",180 ml
"5/5/17, 1:00 AM",195 ml
"5/5/17, 5:00 AM",195 ml
"5/5/17, 9:00 AM",195 ml
"5/5/17, 1:00 PM",195 ml
"5/5/17, 5:00 PM",195 ml
"5/5/17, 9:00 PM",195 ml
"5/6/17, 1:00 AM",195 ml
"5/6/17, 5:00 AM",180 ml
"5/6/17, 9:00 AM",195 ml
"5/6/17, 1:15 PM",195 ml
"5/6/17, 5:10 PM",195 ml
"5/6/17, 9:00 PM",210 ml
"5/7/17, 2:00 AM",210 ml
"5/7/17, 7:00 AM",210 ml
"5/7/17, 11:00 AM",195 ml
"5/7/17, 3:00 PM",195 ml
"5/7/17, 7:00 PM",195 ml
"5/7/17, 11:00 PM",195 ml
"5/8/17, 4:00 AM",225 ml
"5/8/17, 9:00 AM",225 ml
"5/8/17, 1:00 PM",180 ml
"5/8/17, 5:00 PM",180 ml
"5/8/17, 9:00 PM",195 ml
"5/9/17, 2:00 AM",210 ml
"5/9/17, 7:00 AM",195 ml
"5/9/17, 11:00 AM",210 ml
"5/9/17, 3:00 PM",195 ml
"5/9/17, 7:00 PM",195 ml
"5/9/17, 11:05 PM",210 ml
"5/10/17, 4:00 AM",210 ml
"5/10/17, 9:00 AM",210 ml
"5/10/17, 1:30 PM",210 ml
"5/10/17, 5:15 PM",210 ml
"5/10/17, 9:00 PM",180 ml
"5/11/17, 2:35 AM",210 ml
"5/11/17, 9:00 AM",240 ml
"5/11/17, 1:00 PM",195 ml
"5/11/17, 5:00 PM",195 ml
"5/11/17, 9:00 PM",180 ml
"5/12/17, 1:00 AM",195 ml
"5/12/17, 5:00 AM",180 ml
"5/12/17, 9:00 AM",180 ml
"5/12/17, 1:00 PM",210 ml
"5/12/17, 5:00 PM",195 ml
"5/12/17, 9:00 PM",195 ml
"5/13/17, 1:45 AM",195 ml
"5/13/17, 5:30 AM",180 ml
"5/13/17, 9:30 AM",180 ml
"5/13/17, 1:30 PM",180 ml
"5/13/17, 5:30 PM",180 ml
"5/13/17, 9:45 PM",210 ml
"5/14/17, 2:00 AM",210 ml
"5/14/17, 7:00 AM",225 ml
"5/14/17, 11:00 AM",195 ml
"5/14/17, 3:00 PM",195 ml
"5/14/17, 7:05 PM",195 ml
"5/14/17, 11:00 PM",195 ml
"5/15/17, 4:00 AM",210 ml
"5/15/17, 9:00 AM",210 ml
"5/15/17, 1:00 PM",210 ml
"5/15/17, 5:00 PM",195 ml
"5/15/17, 9:00 PM",210 ml
"5/16/17, 3:30 AM",240 ml
"5/16/17, 7:45 AM",195 ml
"5/16/17, 11:50 AM",195 ml
"5/16/17, 4:15 PM",210 ml
"5/16/17, 8:30 PM",195 ml
"5/17/17, 12:30 AM",235 ml
"5/17/17, 7:00 AM",210 ml
"5/17/17, 11:00 AM",195 ml
"5/17/17, 3:00 PM",210 ml
"5/17/17, 7:00 PM",195 ml
"5/17/17, 11:00 PM",210 ml
"5/18/17, 5:30 AM",240 ml
"5/18/17, 9:40 AM",195 ml
"5/18/17, 1:40 PM",210 ml
"5/18/17, 5:40 PM",210 ml
"5/18/17, 10:00 PM",210 ml
"5/19/17, 4:30 AM",210 ml
"5/19/17, 9:00 AM",210 ml
"5/19/17, 1:00 PM",195 ml
"5/19/17, 5:30 PM",210 ml
"5/19/17, 9:50 PM",195 ml
"5/20/17, 4:50 AM",240 ml
"5/20/17, 9:20 AM",240 ml
"5/20/17, 1:30 PM",210 ml
"5/20/17, 5:30 PM",195 ml
"5/20/17, 10:00 PM",195 ml
"5/21/17, 5:00 AM",255 ml
"5/21/17, 9:20 AM",210 ml
"5/21/17, 1:30 PM",195 ml
"5/21/17, 5:30 PM",195 ml
"5/21/17, 10:00 PM",210 ml
"5/22/17, 6:10 AM",270 ml
"5/22/17, 10:00 AM",210 ml
"5/22/17, 2:00 PM",210 ml
"5/22/17, 6:30 PM",210 ml
"5/22/17, 10:30 PM",210 ml
"5/23/17, 5:30 AM",240 ml
"5/23/17, 9:30 AM",180 ml
"5/23/17, 1:30 PM",195 ml
"5/23/17, 5:30 PM",195 ml
"5/23/17, 10:00 PM",210 ml
"5/24/17, 5:30 AM",270 ml
"5/24/17, 9:30 AM",195 ml
"5/24/17, 1:30 PM",195 ml
"5/24/17, 5:30 PM",195 ml
"5/24/17, 10:00 PM",210 ml
"5/25/17, 6:00 AM",270 ml
"5/25/17, 10:00 AM",210 ml
"5/25/17, 2:00 PM",210 ml
"5/25/17, 6:00 PM",195 ml
"5/25/17, 10:36 PM",210 ml
"5/26/17, 5:00 AM",270 ml
"5/26/17, 9:30 AM",210 ml
"5/26/17, 1:30 PM",195 ml
"5/26/17, 5:30 PM",195 ml
"5/26/17, 10:00 PM",210 ml
"5/27/17, 6:00 AM",270 ml
"5/27/17, 10:00 AM",210 ml
"5/27/17, 2:00 PM",210 ml
"5/27/17, 6:30 PM",195 ml
"5/27/17, 10:30 PM",195 ml
"5/28/17, 6:00 AM",270 ml
"5/28/17, 10:00 AM",210 ml
"5/28/17, 2:00 PM",210 ml
"5/28/17, 6:00 PM",180 ml
"5/28/17, 10:30 PM",210 ml
"5/29/17, 6:00 AM",270 ml
"5/29/17, 10:45 AM",210 ml
"5/29/17, 2:30 PM",210 ml
"5/29/17, 6:30 PM",195 ml
"5/29/17, 10:30 PM",195 ml
"5/30/17, 5:40 AM",270 ml
"5/30/17, 9:30 AM",210 ml
"5/30/17, 1:30 PM",180 ml
"5/30/17, 5:30 PM",195 ml
"5/30/17, 10:00 PM",210 ml
"5/31/17, 5:30 AM",270 ml
"5/31/17, 9:30 AM",210 ml
"5/31/17, 1:30 PM",150 ml
"5/31/17, 5:30 PM",210 ml
"5/31/17, 10:00 PM",195 ml
"6/1/17, 5:45 AM",270 ml
"6/1/17, 10:10 AM",210 ml
"6/1/17, 2:00 PM",195 ml
"6/1/17, 6:00 PM",195 ml
"6/1/17, 10:30 PM",195 ml
"6/2/17, 5:00 AM",270 ml
"6/2/17, 9:20 AM",210 ml
"6/2/17, 1:20 PM",210 ml
"6/2/17, 5:30 PM",210 ml
"6/2/17, 10:30 PM",210 ml
"6/3/17, 5:20 AM",270 ml
"6/3/17, 9:30 AM",210 ml
"6/3/17, 1:30 PM",195 ml
"6/3/17, 6:00 PM",195 ml
"6/3/17, 10:15 PM",210 ml
"6/4/17, 5:30 AM",270 ml
"6/4/17, 9:45 AM",210 ml
"6/4/17, 1:30 PM",210 ml
"6/4/17, 5:40 PM",195 ml
"6/4/17, 10:00 PM",210 ml
"6/5/17, 5:30 AM",270 ml
"6/5/17, 9:30 AM",210 ml
"6/5/17, 1:40 PM",210 ml
"6/5/17, 5:40 PM",195 ml
"6/5/17, 10:00 PM",195 ml
"6/6/17, 6:00 AM",270 ml
"6/6/17, 10:00 AM",210 ml
"6/6/17, 2:00 PM",180 ml
"6/6/17, 6:00 PM",180 ml
"6/6/17, 10:20 PM",210 ml
"6/7/17, 6:00 AM",270 ml
"6/7/17, 10:00 AM",195 ml
"6/7/17, 2:00 PM",210 ml
"6/7/17, 6:00 PM",210 ml
"6/7/17, 10:15 PM",210 ml
"6/8/17, 6:00 AM",270 ml
"6/8/17, 10:00 AM",210 ml
"6/8/17, 2:00 PM",195 ml
"6/8/17, 6:00 PM",210 ml
"6/8/17, 10:15 PM",210 ml
"6/9/17, 6:00 AM",270 ml
"6/9/17, 10:00 AM",210 ml
"6/9/17, 2:10 PM",210 ml
"6/9/17, 6:00 PM",180 ml
"6/9/17, 10:15 PM",210 ml
"6/10/17, 6:00 AM",270 ml
"6/10/17, 9:45 AM",210 ml
"6/10/17, 1:45 PM",210 ml
"6/10/17, 5:45 PM",210 ml
"6/10/17, 10:15 PM",195 ml
"6/11/17, 6:00 AM",270 ml
"6/11/17, 10:30 AM",210 ml
"6/11/17, 2:20 PM",210 ml
"6/11/17, 6:30 PM",210 ml
"6/11/17, 10:30 PM",210 ml
"6/12/17, 5:45 AM",270 ml
"6/12/17, 9:45 AM",210 ml
"6/12/17, 1:45 PM",210 ml
"6/12/17, 5:45 PM",210 ml
"6/12/17, 10:15 PM",210 ml
"6/13/17, 6:00 AM",270 ml
"6/13/17, 10:00 AM",195 ml
"6/13/17, 2:00 PM",210 ml
"6/13/17, 6:00 PM",195 ml
"6/13/17, 10:30 PM",210 ml
"6/14/17, 7:00 AM",270 ml
"6/14/17, 10:45 AM",210 ml
"6/14/17, 2:30 PM",195 ml
"6/14/17, 6:30 PM",210 ml
"6/14/17, 10:30 PM",210 ml
"6/15/17, 6:00 AM",270 ml
"6/15/17, 10:00 AM",195 ml
"6/15/17, 2:00 PM",210 ml
"6/15/17, 6:00 PM",195 ml
"6/15/17, 10:30 PM",240 ml
"6/16/17, 5:30 AM",270 ml
"6/16/17, 9:40 AM",180 ml
"6/16/17, 1:45 PM",210 ml
"6/16/17, 6:00 PM",180 ml
"6/16/17, 10:15 PM",210 ml
"6/17/17, 5:40 AM",270 ml
"6/17/17, 9:45 AM",180 ml
"6/17/17, 1:50 PM",210 ml
"6/17/17, 6:00 PM",210 ml
"6/17/17, 10:30 PM",240 ml
"6/18/17, 6:00 AM",270 ml
"6/18/17, 10:00 AM",210 ml
"6/18/17, 2:00 PM",195 ml
"6/18/17, 6:00 PM",180 ml
"6/18/17, 10:30 PM",210 ml
"6/19/17, 6:30 AM",270 ml
"6/19/17, 10:50 AM",210 ml
"6/19/17, 2:30 PM",150 ml
"6/19/17, 6:30 PM",195 ml
"6/19/17, 10:30 PM",210 ml
"6/20/17, 5:40 AM",270 ml
"6/20/17, 9:50 AM",195 ml
"6/20/17, 2:00 PM",210 ml
"6/20/17, 6:10 PM",195 ml
"6/20/17, 10:30 PM",210 ml
"6/21/17, 5:30 AM",270 ml
"6/21/17, 9:50 AM",195 ml
"6/21/17, 2:00 PM",210 ml
"6/21/17, 6:00 PM",180 ml
"6/21/17, 10:30 PM",210 ml
"6/22/17, 5:50 AM",270 ml
"6/22/17, 9:50 AM",195 ml
"6/22/17, 2:00 PM",180 ml
"6/22/17, 6:00 PM",210 ml
"6/22/17, 10:20 PM",210 ml
"6/23/17, 5:40 AM",270 ml
"6/23/17, 9:50 AM",195 ml
"6/23/17, 2:00 PM",210 ml
"6/23/17, 6:45 PM",210 ml
"6/23/17, 10:30 PM",180 ml
"6/24/17, 6:00 AM",270 ml
"6/24/17, 10:00 AM",210 ml
"6/24/17, 2:00 PM",195 ml
"6/24/17, 6:40 PM",210 ml
"6/24/17, 10:30 PM",180 ml
"6/25/17, 5:50 AM",270 ml
"6/25/17, 10:00 AM",195 ml
"6/25/17, 2:00 PM",210 ml
"6/25/17, 6:20 PM",210 ml
"6/25/17, 10:30 PM",210 ml
"6/26/17, 6:20 AM",270 ml
"6/26/17, 10:00 AM",195 ml
"6/26/17, 2:00 PM",195 ml
"6/26/17, 6:00 PM",195 ml
"6/26/17, 10:30 PM",195 ml
"6/27/17, 6:30 AM",270 ml
"6/27/17, 10:00 AM",180 ml
"6/27/17, 2:00 PM",180 ml
"6/27/17, 6:00 PM",195 ml
"6/27/17, 10:30 PM",210 ml
"6/28/17, 6:00 AM",270 ml
"6/28/17, 10:00 AM",195 ml
"6/28/17, 2:00 PM",195 ml
"6/28/17, 6:00 PM",210 ml
"6/28/17, 10:30 PM",210 ml
"6/29/17, 6:00 AM",270 ml
"6/29/17, 10:00 AM",210 ml
"6/29/17, 2:00 PM",210 ml
"6/29/17, 6:10 PM",180 ml
"6/29/17, 10:30 PM",210 ml
"6/30/17, 6:00 AM",210 ml
"6/30/17, 10:00 AM",195 ml
"6/30/17, 1:30 PM",180 ml
"6/30/17, 6:20 PM",210 ml
"6/30/17, 10:30 PM",210 ml
"7/1/17, 5:50 AM",270 ml
"7/1/17, 10:00 AM",195 ml
"7/1/17, 2:10 PM",195 ml
"7/1/17, 6:10 PM",195 ml
"7/1/17, 10:30 PM",210 ml
"7/2/17, 5:45 AM",270 ml
"7/2/17, 10:00 AM",210 ml
"7/2/17, 2:05 PM",210 ml
"7/2/17, 6:10 PM",210 ml
"7/2/17, 10:30 PM",210 ml
"7/3/17, 5:50 AM",270 ml
"7/3/17, 10:20 AM",210 ml
"7/3/17, 2:00 PM",180 ml
"7/3/17, 6:00 PM",210 ml
"7/3/17, 10:20 PM",210 ml
"7/4/17, 6:00 AM",270 ml
"7/4/17, 10:00 AM",210 ml
"7/4/17, 2:00 PM",195 ml
"7/4/17, 6:00 PM",195 ml
"7/4/17, 10:20 PM",210 ml
"7/5/17, 6:00 AM",270 ml
"7/5/17, 10:00 AM",210 ml
"7/5/17, 2:00 PM",210 ml
"7/5/17, 6:00 PM",195 ml
"7/5/17, 10:30 PM",210 ml
"7/6/17, 6:00 AM",270 ml
"7/6/17, 10:00 AM",210 ml
"7/6/17, 2:00 PM",180 ml
"7/6/17, 6:00 PM",210 ml
"7/6/17, 10:30 PM",225 ml
"7/7/17, 6:00 AM",270 ml
"7/7/17, 10:00 AM",210 ml
"7/7/17, 2:00 PM",195 ml
"7/7/17, 6:00 PM",195 ml
"7/7/17, 10:30 PM",210 ml
"7/8/17, 6:00 AM",270 ml
"7/8/17, 10:00 AM",210 ml
"7/8/17, 2:10 PM",195 ml
"7/8/17, 6:15 PM",195 ml
"7/8/17, 10:20 PM",210 ml
"7/9/17, 6:00 AM",270 ml
"7/9/17, 10:00 AM",210 ml
"7/9/17, 2:00 PM",180 ml
"7/9/17, 6:10 PM",180 ml
"7/9/17, 10:20 PM",240 ml
"7/10/17, 5:50 AM",270 ml
"7/10/17, 10:00 AM",210 ml
"7/10/17, 2:00 PM",210 ml
"7/10/17, 6:15 PM",210 ml
"7/10/17, 10:30 PM",210 ml
"7/11/17, 6:00 AM",270 ml
"7/11/17, 10:30 AM",240 ml
"7/11/17, 2:00 PM",180 ml
"7/11/17, 6:00 PM",195 ml
"7/11/17, 10:30 PM",210 ml
"7/12/17, 6:00 AM",270 ml
"7/12/17, 10:00 AM",210 ml
"7/12/17, 2:00 PM",180 ml
"7/12/17, 6:10 PM",210 ml
"7/12/17, 10:30 PM",210 ml
"7/13/17, 6:00 AM",270 ml
"7/13/17, 10:00 AM",195 ml
"7/13/17, 2:00 PM",210 ml
"7/13/17, 6:00 PM",210 ml
"7/13/17, 10:20 PM",210 ml
"7/14/17, 6:00 AM",270 ml
"7/14/17, 10:00 AM",210 ml
"7/14/17, 2:00 PM",180 ml
"7/14/17, 6:00 PM",195 ml
"7/14/17, 10:15 PM",225 ml
"7/15/17, 6:00 AM",270 ml
"7/15/17, 10:00 AM",210 ml
"7/15/17, 2:00 PM",210 ml
"7/15/17, 6:30 PM",210 ml
"7/15/17, 10:20 PM",210 ml
"7/16/17, 6:00 AM",270 ml
"7/16/17, 10:00 AM",210 ml
"7/16/17, 2:00 PM",150 ml
"7/16/17, 6:15 PM",195 ml
"7/16/17, 10:30 PM",225 ml
"7/17/17, 6:00 AM",270 ml
"7/17/17, 9:50 AM",210 ml
"7/17/17, 2:00 PM",210 ml
"7/17/17, 6:10 PM",210 ml
"7/17/17, 10:30 PM",240 ml
"7/18/17, 6:00 AM",270 ml
"7/18/17, 10:00 AM",240 ml
"7/18/17, 2:10 PM",210 ml
"7/18/17, 6:10 PM",180 ml
"7/18/17, 10:20 PM",210 ml
"7/19/17, 6:00 AM",270 ml
"7/19/17, 10:00 AM",210 ml
"7/19/17, 2:10 PM",195 ml
"7/19/17, 6:10 PM",195 ml
"7/19/17, 10:20 PM",210 ml
"7/20/17, 6:00 AM",270 ml
"7/20/17, 10:15 AM",210 ml
"7/20/17, 2:15 PM",195 ml
"7/20/17, 6:15 PM",210 ml
"7/20/17, 10:20 PM",210 ml
"7/21/17, 6:00 AM",300 ml
"7/21/17, 10:15 AM",180 ml
"7/21/17, 2:15 PM",180 ml
"7/21/17, 6:15 PM",195 ml
"7/21/17, 10:30 PM",225 ml
"7/22/17, 6:00 AM",270 ml
"7/22/17, 10:00 AM",210 ml
"7/22/17, 2:00 PM",150 ml
"7/22/17, 5:45 PM",210 ml
"7/22/17, 10:30 PM",210 ml
"7/23/17, 6:00 AM",270 ml
"7/23/17, 10:00 AM",180 ml
"7/23/17, 2:00 PM",195 ml
"7/23/17, 6:10 PM",210 ml
"7/23/17, 10:20 PM",210 ml
"7/24/17, 6:00 AM",270 ml
"7/24/17, 10:00 AM",210 ml
"7/24/17, 2:05 PM",165 ml
"7/24/17, 6:10 PM",210 ml
"7/24/17, 10:30 PM",210 ml
"7/25/17, 6:00 AM",270 ml
"7/25/17, 10:00 AM",210 ml
"7/25/17, 2:00 PM",195 ml
"7/25/17, 6:15 PM",195 ml
"7/25/17, 10:20 PM",210 ml
"7/26/17, 6:00 AM",270 ml
"7/26/17, 10:00 AM",210 ml
"7/26/17, 2:05 PM",165 ml
"7/26/17, 6:10 PM",225 ml
"7/26/17, 10:20 PM",210 ml
"7/27/17, 6:00 AM",270 ml
"7/27/17, 10:00 AM",210 ml
"7/27/17, 2:00 PM",180 ml
"7/27/17, 6:15 PM",210 ml
"7/27/17, 10:30 PM",210 ml
"7/28/17, 6:00 AM",270 ml
"7/28/17, 10:00 AM",210 ml
"7/28/17, 2:00 PM",195 ml
"7/28/17, 6:10 PM",195 ml
"7/28/17, 10:20 PM",195 ml
"7/29/17, 6:00 AM",270 ml
"7/29/17, 10:00 AM",210 ml
"7/29/17, 2:00 PM",195 ml
"7/29/17, 6:00 PM",195 ml
"7/29/17, 10:30 PM",225 ml
"7/30/17, 6:00 AM",270 ml
"7/30/17, 10:20 AM",210 ml
"7/30/17, 2:27 PM",165 ml
"7/30/17, 6:15 PM",225 ml
"7/30/17, 10:20 PM",210 ml
"7/31/17, 6:00 AM",270 ml
"7/31/17, 10:00 AM",210 ml
"7/31/17, 2:00 PM",195 ml
"7/31/17, 6:20 PM",210 ml
"7/31/17, 10:20 PM",210 ml
"8/1/17, 6:00 AM",270 ml
"8/1/17, 10:00 AM",210 ml
"8/1/17, 2:10 PM",195 ml
"8/1/17, 6:15 PM",195 ml
"8/1/17, 10:20 PM",210 ml
"8/2/17, 6:00 AM",270 ml
"8/2/17, 10:00 AM",210 ml
"8/2/17, 2:05 PM",195 ml
"8/2/17, 6:10 PM",195 ml
"8/2/17, 10:15 PM",240 ml
"8/3/17, 6:00 AM",270 ml
"8/3/17, 10:00 AM",195 ml
"8/3/17, 2:05 PM",210 ml
"8/3/17, 6:10 PM",210 ml
"8/3/17, 10:30 PM",240 ml
"8/4/17, 6:00 AM",270 ml
"8/4/17, 10:00 AM",210 ml
"8/4/17, 2:05 PM",180 ml
"8/4/17, 6:10 PM",180 ml
"8/4/17, 10:20 PM",225 ml
"8/5/17, 6:00 AM",270 ml
"8/5/17, 10:00 AM",210 ml
"8/5/17, 2:00 PM",150 ml
"8/5/17, 6:10 PM",240 ml
"8/5/17, 10:20 PM",225 ml
"8/6/17, 6:00 AM",270 ml
"8/6/17, 10:00 AM",210 ml
"8/6/17, 2:00 PM",210 ml
"8/6/17, 6:20 PM",195 ml
"8/6/17, 10:30 PM",240 ml
"8/7/17, 5:40 AM",255 ml
"8/7/17, 9:50 AM",210 ml
"8/7/17, 2:00 PM",195 ml
"8/7/17, 6:05 PM",210 ml
"8/7/17, 10:15 PM",210 ml
"8/8/17, 6:00 AM",270 ml
"8/8/17, 10:05 AM",180 ml
"8/8/17, 2:05 PM",195 ml
"8/8/17, 6:05 PM",195 ml
"8/8/17, 10:20 PM",240 ml
"8/9/17, 6:00 AM",270 ml
"8/9/17, 10:20 AM",210 ml
"8/9/17, 2:20 PM",195 ml
"8/9/17, 6:20 PM",195 ml
"8/9/17, 10:30 PM",210 ml
"8/10/17, 6:00 AM",270 ml
"8/10/17, 10:00 AM",180 ml
"8/10/17, 2:00 PM",210 ml
"8/10/17, 6:10 PM",210 ml
"8/10/17, 10:20 PM",240 ml
"8/11/17, 6:00 AM",270 ml
"8/11/17, 10:00 AM",180 ml
"8/11/17, 2:10 PM",180 ml
"8/11/17, 6:10 PM",210 ml
"8/11/17, 10:25 PM",210 ml
"8/12/17, 6:00 AM",270 ml
"8/12/17, 10:00 AM",210 ml
"8/12/17, 2:10 PM",195 ml
"8/12/17, 6:15 PM",195 ml
"8/12/17, 10:20 PM",225 ml
